Date,Open,High,Low,Close
2010-01-04,125.411087,127.122368,125.095604,126.625237
2010-01-05,125.889099,126.051628,124.378586,125.095604
2010-01-06,124.933075,125.707458,124.101341,124.282982
2010-01-07,124.158699,124.521988,123.240921,123.852776
2010-01-08,123.393883,125.162521,123.374763,125.095604
2010-01-11,125.296364,125.296364,123.011475,123.785851
2010-01-12,123.355644,125.554497,123.326958,124.770554
2010-01-13,124.65583,125.353729,123.479927,124.502869
2010-01-14,124.808792,126.873802,124.196938,126.491394
2010-01-15,126.223709,127.045891,125.32505,125.984703
2010-01-19,125.841301,128.346085,125.774376,128.240921
2010-01-20,124.722755,125.382408,123.27916,124.521988
2010-01-21,124.732315,124.942642,122.428299,123.326958
2010-01-22,123.011475,123.221794,119.856598,119.980881
2010-01-25,120.774376,121.309753,120.181641,120.573616
2010-01-26,120.382408,122.131927,119.894836,120.219887
2010-01-27,120.286804,121.376671,119.541107,120.774376
2010-01-28,121.443596,121.453156,117.638626,118.307838
2010-01-29,118.852776,119.502869,116.5392,117.007645
2010-02-01,117.810707,119.45507,117.380501,119.187378
2010-02-02,119.302101,120.277245,118.499046,120.00956
2010-02-03,119.65583,120.52581,119.569794,120.133842
2010-02-04,119.684509,119.923515,117.495216,117.59082
2010-02-05,117.629066,118.27916,116.472275,118.087952
2010-02-08,117.734222,117.801147,116.38623,116.520073
2010-02-09,117.25621,118.738052,117.07457,117.791588
2010-02-10,117.533463,118.212234,116.835564,117.40918
2010-02-11,117.189293,118.738052,116.692162,118.288719
2010-02-12,117.60038,118.594643,116.261948,118.546844
2010-02-16,119.416824,119.722755,118.652008,119.722755
2010-02-17,119.980881,120.965584,119.703636,120.774376
2010-02-18,120.583176,122.370934,120.458893,122.189293
2010-02-19,121.749519,122.428299,121.290634,121.596558
2010-02-22,121.701721,121.826004,120.755257,121.271507
2010-02-23,120.917786,122.045891,120.458893,120.898659
2010-02-24,121.434036,122.629066,121.233269,121.978966
2010-02-25,120.506691,121.644356,120.047798,121.481834
2010-02-26,121.424477,122.370934,121.166351,121.567879
2010-03-01,121.892921,123.164436,121.864243,122.915871
2010-03-02,123.040154,123.413002,121.5392,121.816444
2010-03-03,122.112808,122.39006,121.108986,121.300194
2010-03-04,121.481834,121.481834,119.952202,121.147224
2010-03-05,121.577438,121.940727,121.453156,121.653923
2010-03-08,121.472275,121.892921,120.803062,120.850861
2010-03-09,120.717018,120.736137,119.694077,120.028679
2010-03-10,120.449333,120.803062,119.703636,120.095604
2010-03-11,120.181641,122.189293,120.181641,121.988525
2010-03-12,122.284897,122.724663,121.902489,122.313576
2010-03-15,121.797325,122.695984,121.682602,122.208412
2010-03-16,122.370934,123.212234,121.845123,123.011475
2010-03-17,123.231361,123.26004,121.759079,122.141495
2010-03-18,121.854683,123.087952,121.845123,122.734222
2010-03-19,122.093689,123.26004,121.20459,122.093689
2010-03-22,121.520073,122.74379,121.003822,122.351814
2010-03-23,122.313576,123.738052,122.026772,123.680687
2010-03-24,122.973228,124.235184,122.820267,122.877632
2010-03-25,123.671127,124.980881,123.451241,123.556404
2010-03-26,123.26004,124.072655,123.059273,123.575523
2010-03-29,123.61377,124.235184,122.619499,122.93499
2010-03-30,123.231361,123.451241,122.60994,123.107079
2010-03-31,122.59082,123.087952,122.036331,122.60994
2010-04-01,123.27916,123.623329,121.940727,122.60994
2010-04-05,122.734222,124.091782,122.504784,123.661568
2010-04-06,123.021034,123.61377,122.418739,123.26004
2010-04-07,122.877632,123.585083,122.380501,122.829826
2010-04-08,122.40918,122.59082,121.606117,121.998085
2010-04-09,122.25621,123.202675,121.52964,123.097511
2010-04-12,122.915871,123.288719,122.60038,122.715103
2010-04-13,122.619499,123.738052,122.217972,123.355644
2010-04-14,124.024857,125.640533,123.766731,125.478012
2010-04-15,124.789673,125.372849,124.46463,125.133842
